FID IID PC1 PC2 PC3 PC4
WGAAD 10 0.0550949 0.0507711 0.00845787 -0.00116914
WGAAD 15 0.0470604 0.0474843 0.00315769 0.00810905
WGAAD 18 0.0564277 0.0471303 0.00803162 -0.00242266
WGAAD 20 0.0564051 0.0436962 0.00419304 -0.007482
WGAAD 24 0.0540288 0.0477145 0.00711973 -0.00223988
WGAAD 25 0.0475798 0.0504094 0.00207224 0.00637812
WGAAD 28 0.0570727 0.0493075 0.00609508 -0.00164
WGAAD 29 0.054579 0.0496459 0.00995307 -0.00327564
WGAAD 31 0.0552207 0.0516809 0.00705046 -0.00485599
WGAAD 35 0.0545915 0.0512981 0.00909368 -0.000943343
WGAAD 43 0.0536188 0.0498081 0.00712547 -0.000408634
WGAAD 45 0.0571665 0.0520333 0.00647522 0.000794503
WGAAD 46 0.0541408 0.0492055 0.0048503 0.000316701
WGAAD 49 0.054952 0.0512473 0.00609549 -0.00326441
WGAAD 50 0.0542356 0.0514166 0.0103647 -0.000330105
WGAAD 51 0.0573638 0.0460075 0.00700032 -0.00444415
WGAAD 52 0.0531022 0.0504293 0.00867538 -0.002158
WGAAD 53 0.0554353 0.0527418 0.00714357 -0.00215405
WGAAD 54 0.0572774 0.0512245 0.00903014 -0.0031207
WGAAD 61 0.0566572 0.0493493 0.00944805 -0.00240667
WGAAD 62 0.0585267 0.0505433 0.00924713 -0.0018746
WGAAD 65 0.0562259 0.0472862 0.00965254 -0.00412273
WGAAD 66 0.0556177 0.0520624 0.0072862 -0.00291225
WGAAD 68 0.0452497 0.0454647 -7.79688e-05 0.00904727
WGAAD 69 0.0484333 0.0501983 0.0107958 0.00300938
WGAAD 71 0.0546897 0.0512575 0.00685186 -0.00397388
WGAAD 72 0.0449522 0.0454931 0.00448223 0.0100173
WGAAD 76 0.0539707 0.0501829 0.0084599 -0.00208932
WGAAD 78 0.0553475 0.0498618 0.00930274 -0.00320346
WGAAD 79 0.0561697 0.0514592 0.00703275 -0.00313477
WGAAD 80 0.0553962 0.0514872 0.00940425 5.28926e-06
WGAAD 83 0.0553278 0.0491245 0.00881354 -0.00161085
WGAAD 86 0.0560659 0.0508482 0.00653429 -0.00170405
WGAAD 89 0.0543661 0.0504336 0.00826226 0.000710458
WGAAD 90 0.0541165 0.0507568 0.0101926 -0.00113908
WGAAD 104 0.0557718 0.0475003 0.00702668 -0.00199836
WGAAD 117 0.0554379 0.0504772 0.00649813 -0.00327684
WGAAD 118 0.0464332 0.044977 0.00432683 0.00892441
WGAAD 123 0.0444127 0.0490759 -0.0025474 0.00734967
WGAAD 124 0.0528885 0.0499664 0.00858859 -0.00353433
WGAAD 125 0.0449487 0.0494415 0.00232722 0.00569401
WGAAD 126 0.0464618 0.0454666 -0.000491459 0.00885985
WGAAD 127 0.0567902 0.0502622 0.00863598 -0.00404995
WGAAD 128 0.057159 0.0505471 0.00781983 -0.00461636
WGAAD 130 0.0449277 0.0466508 0.0014082 0.00877599
WGAAD 132 0.054938 0.0490322 0.00754663 -0.000307839
WGAAD 133 0.0566597 0.0489966 0.0108532 -0.00519185
WGAAD 135 0.0540467 0.046998 0.00752859 -0.00368237
WGAAD 137 0.0568263 0.0490888 0.00859455 -0.00491473
WGAAD 140 0.0580244 0.0493915 0.00415285 -0.00565855
WGAAD 144 0.0552081 0.0525122 0.0102042 -0.0025076
WGAAD 148 0.0560968 0.052118 0.00964648 -0.000973035
WGAAD 156 0.0579607 0.0510884 0.00669117 -0.00561735
WGAAD 158 0.054916 0.0533018 0.00802151 -0.00344454
WGAAD 165 0.0564023 0.0492672 0.00739849 -0.00599445
WGAAD 166 0.0547219 0.0496384 0.00723123 -0.00405489
WGAAD 171 0.0542577 0.0514511 0.00974175 -0.00193846
WGAAD 175 0.0564291 0.0505673 0.00896647 -0.00432704
WGAAD 178 0.0580725 0.0522655 0.00642115 -0.00474746
WGAAD 179 0.0554844 0.0492802 0.00761021 0.00126175
WGAAD 186 0.0586466 0.0508974 0.00778703 -0.00664474
WGAAD 187 0.0543608 0.052803 0.0109259 -0.00178524
WGAAD 188 0.0562822 0.0516417 0.0119462 -0.00498543
WGAAD 189 0.0567294 0.0502791 0.00970333 -0.00516544
WGAAD 190 0.0564848 0.0512444 0.00833009 -0.000925493
WGAAD 191 0.053831 0.0477876 0.00967709 -0.000713194
WGAAD 192 0.0530534 0.0499036 0.00725175 -2.81312e-05
WGAAD 193 0.0539522 0.0491037 0.0101301 -0.00354945
WGAAD 194 0.0555452 0.0530712 0.00941327 -0.00554311
WGAAD 195 0.0528698 0.050045 0.00713739 0.000294623
WGAAD 196 0.0572209 0.0501624 0.00817609 -0.00405076
WGAAD 199 0.0554861 0.0511756 0.00617298 -0.00393806
WGAAD 200 0.0546958 0.0504267 0.00988688 -0.00203735
WGAAD 201 0.0576554 0.0513639 0.00870644 -0.00275951
WGAAD 202 0.0553047 0.0522577 0.0100361 0.00086039
WGAAD 230 0.0545118 0.0468328 0.00836523 -0.000438484
WGAAD 231 0.0558504 0.0503195 0.00822346 -0.00278729
WGAAD 232 0.056452 0.0506707 0.00861491 -0.0038236
WGAAD 234 0.0568343 0.0504566 0.00686866 -0.00765913
WGAAD 236 0.0547476 0.0488189 0.00906475 -0.000318473
WGAAD 237 0.058283 0.0498268 0.00792534 -0.00406619
WGAAD 238 0.0571733 0.0520967 0.0066924 -0.00195882
WGAAD 239 0.0569367 0.0462117 0.00645736 -0.000373815
WGAAD 242 0.0564638 0.0495595 0.0106818 -0.00186928
WGAAD 243 0.0579319 0.0545661 0.00833285 -0.00218113
WGAAD 245 0.0542241 0.0524314 0.0085753 -0.00168635
WGAAD 247 0.0411656 0.0474482 0.00715837 -0.00154148
WGAAD 248 0.0557418 0.0495009 0.00832405 -0.00437454
WGAAD 249 0.0570915 0.0475312 0.00983409 -0.00620878
WGAAD 251 0.0569418 0.0484937 0.0098008 -0.00190037
WGAAD 260 0.0552463 0.0533386 0.00947678 -0.00396266
WGAAD 261 0.0555281 0.0504651 0.0114455 -0.00180709
WGAAD 262 0.0533046 0.0508654 0.00860437 -0.00235499
WGAAD 263 0.0442466 0.0445397 0.00153678 0.00778958
WGAAD 264 0.0426618 0.0447573 0.00280486 0.0090215
WGAAD 268 0.0572795 0.0506905 0.00846942 -0.00316905
WGAAD 269 0.0549961 0.0509235 0.0103334 -0.00610401
WGAAD 271 0.0422588 0.0450329 0.00234915 0.0109409
WGAAD 272 0.0543843 0.0504514 0.00645698 -0.00419736
WGAAD 273 0.0485493 0.0481358 0.00199711 0.00641756
WGAAD 274 0.0425833 0.0454078 4.67671e-05 0.00613839
WGAAD 275 0.0583334 0.0495534 0.00806578 0.000284065
WGAAD 278 0.046691 0.0447142 0.00238465 0.00951049
WGAAD 280 0.0479712 0.0413139 -0.000115089 0.00743578
WGAAD 282 0.0562144 0.0523568 0.00507337 -0.00233743
WGAAD 284 0.0554527 0.0518624 0.0099119 0.00356746
WGAAD 287 0.0560716 0.0530043 0.00838669 -0.00515706
WGAAD 289 0.0573678 0.0524979 0.0060197 -0.00512533
WGAAD 293 0.0568149 0.0496479 0.00844854 -0.00479711
WGAAD 295 0.0551769 0.051594 0.0081901 -0.0038407
WGAAD 297 0.0540888 0.0495354 0.010012 -0.00232278
WGAAD 304 0.0459866 0.0475974 0.000224605 0.00874871
WGAAD 305 0.0554747 0.0522768 0.00773747 -0.001387
WGAAD 316 0.0533829 0.0506523 0.00743496 -0.00161064
WGAAD 329 0.0568651 0.0494141 0.00949705 -0.00365802
WGAAD 330 0.0462848 0.0480303 0.00227001 0.00849392
WGAAD 347 0.045401 0.0478452 -0.000621441 0.00736051
